TID;CIVILSTAND;OMRÅDE;INDHOLD
2008K1;Ugift;København;309661
2008K1;Gift/separeret;København;128556
2008K1;Enke/enkemand;København;21555
2008K1;Fraskilt;København;50089
2008K2;Ugift;København;311978
2008K2;Gift/separeret;København;128289
2008K2;Enke/enkemand;København;21298
2008K2;Fraskilt;København;50160
2008K3;Ugift;København;311868
2008K3;Gift/separeret;København;128728
2008K3;Enke/enkemand;København;21066
2008K3;Fraskilt;København;50024
2008K4;Ugift;København;315545
2008K4;Gift/separeret;København;130727
2008K4;Enke/enkemand;København;20854
2008K4;Fraskilt;København;49836
2009K1;Ugift;København;317126
2009K1;Gift/separeret;København;130995
2009K1;Enke/enkemand;København;20600
2009K1;Fraskilt;København;49853
2009K2;Ugift;København;319778
2009K2;Gift/separeret;København;130736
2009K2;Enke/enkemand;København;20371
2009K2;Fraskilt;København;49774
2009K3;Ugift;København;319926
2009K3;Gift/separeret;København;131489
2009K3;Enke/enkemand;København;20134
2009K3;Fraskilt;København;49848
2009K4;Ugift;København;324313
2009K4;Gift/separeret;København;133014
2009K4;Enke/enkemand;København;19958
2009K4;Fraskilt;København;49633
2010K1;Ugift;København;325562
2010K1;Gift/separeret;København;133196
2010K1;Enke/enkemand;København;19761
2010K1;Fraskilt;København;49689
2010K2;Ugift;København;328670
2010K2;Gift/separeret;København;132864
2010K2;Enke/enkemand;København;19531
2010K2;Fraskilt;København;49837
2010K3;Ugift;København;328517
2010K3;Gift/separeret;København;133650
2010K3;Enke/enkemand;København;19307
2010K3;Fraskilt;København;49725
2010K4;Ugift;København;333929
2010K4;Gift/separeret;København;135341
2010K4;Enke/enkemand;København;19099
2010K4;Fraskilt;København;49662
2011K1;Ugift;København;335339
2011K1;Gift/separeret;København;135422
2011K1;Enke/enkemand;København;18963
2011K1;Fraskilt;København;49818
2011K2;Ugift;København;337717
2011K2;Gift/separeret;København;135002
2011K2;Enke/enkemand;København;18752
2011K2;Fraskilt;København;50088
2011K3;Ugift;København;337628
2011K3;Gift/separeret;København;135713
2011K3;Enke/enkemand;København;18584
2011K3;Fraskilt;København;50064
2011K4;Ugift;København;343028
2011K4;Gift/separeret;København;136965
2011K4;Enke/enkemand;København;18388
2011K4;Fraskilt;København;50062
2012K1;Ugift;København;343978
2012K1;Gift/separeret;København;136827
2012K1;Enke/enkemand;København;18201
2012K1;Fraskilt;København;50044
2012K2;Ugift;København;346995
2012K2;Gift/separeret;København;136238
2012K2;Enke/enkemand;København;18034
2012K2;Fraskilt;København;50313
2012K3;Ugift;København;346821
2012K3;Gift/separeret;København;136858
2012K3;Enke/enkemand;København;17899
2012K3;Fraskilt;København;50322
2012K4;Ugift;København;352000
2012K4;Gift/separeret;København;137880
2012K4;Enke/enkemand;København;17770
2012K4;Fraskilt;København;50270
2013K1;Ugift;København;353507
2013K1;Gift/separeret;København;138132
2013K1;Enke/enkemand;København;17524
2013K1;Fraskilt;København;50277
2013K2;Ugift;København;356849
2013K2;Gift/separeret;København;137542
2013K2;Enke/enkemand;København;17295
2013K2;Fraskilt;København;50567
2013K3;Ugift;København;356692
2013K3;Gift/separeret;København;137917
2013K3;Enke/enkemand;København;17154
2013K3;Fraskilt;København;50616
2013K4;Ugift;København;361813
2013K4;Gift/separeret;København;139664
2013K4;Enke/enkemand;København;17012
2013K4;Fraskilt;København;50511
2014K1;Ugift;København;362566
2014K1;Gift/separeret;København;138830
2014K1;Enke/enkemand;København;16918
2014K1;Fraskilt;København;51243
2014K2;Ugift;København;365720
2014K2;Gift/separeret;København;138186
2014K2;Enke/enkemand;København;16810
2014K2;Fraskilt;København;51660
2014K3;Ugift;København;365274
2014K3;Gift/separeret;København;138329
2014K3;Enke/enkemand;København;16725
2014K3;Fraskilt;København;51959
2014K4;Ugift;København;370940
2014K4;Gift/separeret;København;139729
2014K4;Enke/enkemand;København;16584
2014K4;Fraskilt;København;52260
2015K1;Ugift;København;371642
2015K1;Gift/separeret;København;139613
2015K1;Enke/enkemand;København;16492
2015K1;Fraskilt;København;52437
2015K2;Ugift;København;375047
2015K2;Gift/separeret;København;139465
2015K2;Enke/enkemand;København;16299
2015K2;Fraskilt;København;52538
2015K3;Ugift;København;374655
2015K3;Gift/separeret;København;139893
2015K3;Enke/enkemand;København;16182
2015K3;Fraskilt;København;52795
2015K4;Ugift;København;379545
2015K4;Gift/separeret;København;141141
2015K4;Enke/enkemand;København;16094
2015K4;Fraskilt;København;52919
2016K1;Ugift;København;381364
2016K1;Gift/separeret;København;140881
2016K1;Enke/enkemand;København;16037
2016K1;Fraskilt;København;53199
2016K2;Ugift;København;384161
2016K2;Gift/separeret;København;140688
2016K2;Enke/enkemand;København;15936
2016K2;Fraskilt;København;53446
2016K3;Ugift;København;383598
2016K3;Gift/separeret;København;141427
2016K3;Enke/enkemand;København;15787
2016K3;Fraskilt;København;53723
2016K4;Ugift;København;388897
2016K4;Gift/separeret;København;143024
2016K4;Enke/enkemand;København;15720
2016K4;Fraskilt;København;53807
2017K1;Ugift;København;389741
2017K1;Gift/separeret;København;143176
2017K1;Enke/enkemand;København;15607
2017K1;Fraskilt;København;53957
2017K2;Ugift;København;393512
2017K2;Gift/separeret;København;142783
2017K2;Enke/enkemand;København;15490
2017K2;Fraskilt;København;54272
2017K3;Ugift;København;392034
2017K3;Gift/separeret;København;143640
2017K3;Enke/enkemand;København;15417
2017K3;Fraskilt;København;54275
2017K4;Ugift;København;396546
2017K4;Gift/separeret;København;145607
2017K4;Enke/enkemand;København;15333
2017K4;Fraskilt;København;54336
2018K1;Ugift;København;398105
2018K1;Gift/separeret;København;145479
2018K1;Enke/enkemand;København;15238
2018K1;Fraskilt;København;54466
2018K2;Ugift;København;400873
2018K2;Gift/separeret;København;145301
2018K2;Enke/enkemand;København;15137
2018K2;Fraskilt;København;54682
2018K3;Ugift;København;400102
2018K3;Gift/separeret;København;146287
2018K3;Enke/enkemand;København;15012
2018K3;Fraskilt;København;54697
2018K4;Ugift;København;404978
2018K4;Gift/separeret;København;148172
2018K4;Enke/enkemand;København;14925
2018K4;Fraskilt;København;54623
2019K1;Ugift;København;405616
2019K1;Gift/separeret;København;147974
2019K1;Enke/enkemand;København;14868
2019K1;Fraskilt;København;54946
2019K2;Ugift;København;408833
2019K2;Gift/separeret;København;147848
2019K2;Enke/enkemand;København;14787
2019K2;Fraskilt;København;54882
2019K3;Ugift;København;408190
2019K3;Gift/separeret;København;148834
2019K3;Enke/enkemand;København;14713
2019K3;Fraskilt;København;54771
2019K4;Ugift;København;413168
2019K4;Gift/separeret;København;150492
2019K4;Enke/enkemand;København;14679
2019K4;Fraskilt;København;54682
2020K1;Ugift;København;412512
2020K1;Gift/separeret;København;150458
2020K1;Enke/enkemand;København;14630
2020K1;Fraskilt;København;54740
2020K2;Ugift;København;414072
2020K2;Gift/separeret;København;149826
2020K2;Enke/enkemand;København;14558
2020K2;Fraskilt;København;54993
2020K3;Ugift;København;414218
2020K3;Gift/separeret;København;149291
2020K3;Enke/enkemand;København;14502
2020K3;Fraskilt;København;55024
2020K4;Ugift;København;417782
2020K4;Gift/separeret;København;150663
2020K4;Enke/enkemand;København;14428
2020K4;Fraskilt;København;55063
2021K1;Ugift;København;418133
2021K1;Gift/separeret;København;150279
2021K1;Enke/enkemand;København;14426
2021K1;Fraskilt;København;55279
